stelt	stilt
steltd	stilted
stm^u	stimulate
stmlant	stimulant
stmlus	stimulus
steng	sting
stenge~	stinger
stng	stung
stent	stint
stentd	stinted
stipnd	stipend
stipndre	stipendiary
stepl	stipple
stepld	stippled
step^u	stipulate
ste~	stir
ste~d	stirred
	
# Page 216 Column 2	
sterp	stirrup
stech	stitch
sto	stock
stokad	stockade
stobrokr	stockbroker
sto'oldr	stockholder
stoe|	stockily
stoenes	stockiness
sto^s(	stockings
sto-man	stockman
sto-ste~	stock-still
stoe	stocky
sto^a~|d	stockyard
stoge	stogy
stok	stoic
sto^k	stoical
stoss	stoicism
stok	stoke
stok'old	stokehold
stokr	stoker
stol	stole
stoled	stolid
stoledte	stolidity
stolede	stolidly
stmak	stomach
	
# Page 216 Column 3	
ston	stone
stond	stoned
stona~_	stoneware
stonrk	stonework
stone|	stonily
stonenes	stoniness
stone	stony
stu	stood
stul	stool
stup	stoop
stp	stop
stpj	stoppage
stpt	stopped
stpr	stopper
stor	store
storj	storage
stor'us	storehouse
storrm	storeroom
stork	stork
stom	storm
stomd	stormed
stomer	stormier
stome^st	stormiest
stome|	stormily
stomenes	storminess
	
